ADAM RIVER (except Eve River),,,,,,"Artificial fly only upstream of Eve River, to Hwy 19 bridge"
AHNUHATI RIVER,TRUE,,,,Apr 1-Oct 31,Class II water
AHNUHATI RIVER,,,,,Apr 1-June 30,Steelhead Stamp mandatory 
ALICE LAKE,,,,,,"Bait ban, single barbless hook, no trout over 50 cm"
AMOR LAKE,,,,,,Trout daily quota = 2
AMOR DE COSMOS CREEK,,,,,,No Fishing upper falls downstream 1 km to (Bear River) logging road bridge 3 km from tidewater
AMOR DE COSMOS CREEK,,,,,Dec 1-May 31,No Fishing from mouth to falls about 4 km upstream
“ANDERSON” LAKE,,,,,,"Artificial fly only, bait ban, single barbless hook"
“ANDERSON” LAKE,,,,,,Trout and kokanee release at Unnamed lake in the Walbran Creek Watershed approximately 7 km west/southwest of Mt. Walbran
ANTLER LAKE,,,TRUE,,,No powered boats
ARTLISH RIVER,,TRUE,,,Nov 1-Apr 30,No Fishing upstream of the boundary signs at the bridge crossing approximately 10 km from the mouth
ASH RIVER,,,,,,No Fishing from Elsie Lake to Dickson Lake
ASH RIVER,,,,,Dec 1-Apr 30,No Fishing from Dickson Lake to signs 200 m downstream of Lanternman Falls
ASH RIVER,,,,,,No Fishing from Dickson Falls downstream 30 m to signs
BAINBRIDGE LAKE,,,,,,No angling from boats; Youth/Disabled Accompanied Water year round
BEAR LAKE,,,,,,See Cowichan Lake
BEAR RIVER,,,,,,See Amor de Cosmos Creek
BEAVER LAKE,,,TRUE,,,"Smallmouth bass daily quota = 4; Engine power restriction - 7.5 kW (10 hp), no towing on parts"
BENSON RIVER,,TRUE,,,,Fly fishing only
“BIG QUALICUM” RIVER,,,,,,See Qualicum River
BLACK CREEK,,TRUE,,,Dec 1-May 31,No Fishing
BLACK CREEK,,,,,July 15-Aug 31,No Fishing
BLACKBURN LAKE,,,,,,No powered boats
BLACKWATER LAKE,,,,,,Trout daily quota = 2
BONANZA LAKE,,,,,,"Bait ban, single barbless hook, no trout over 50 cm"
BOOT LAKE,,,TRUE,,,"Bait ban, single barbless hook, trout daily quota = 2"
BRANNEN LAKE,,,TRUE,,,Speed restriction on parts (60 km/h)
BROWNS RIVER,,,,,,No Fishing
BUTTLE LAKE’S TRIBUTARIES,,,,,,Fly fishing only; except Thelwood Creek is closed all year
Thelwood Creek,,,,,,No fishing
(Lower) CAMPBELL LAKE’S TRIBUTARIES,,,,,Feb 1-July 15,"No Fishing, including Campbell River between Strathcona Dam and (Lower) Campbell Lake"
CAMPBELL RIVER,,,,,,No Fishing between Elk Falls and John Hart Dam Power Station
CAMPBELL RIVER,,,,,,No Fishing from Strathcona Dam downstream 100 m
