ADAM RIVER (except Eve River),,,,,,"Artificial fly only upstream of Eve River, to Hwy 19 bridge","(50.460562, -126.281578)"
AHNUHATI RIVER,TRUE,,,,Apr 1-Oct 31,Class II water,"(50.893884, -125.647037)"
AHNUHATI RIVER,,,,,Apr 1-June 30,Steelhead Stamp mandatory ,"(50.893884, -125.647037)"
ALICE LAKE,,,,,,"Bait ban, single barbless hook, no trout over 50 cm","(50.454182, -127.401671)"
AMOR LAKE,,,,,,Trout daily quota = 2,"(50.159829, -125.559268)"
AMOR DE COSMOS CREEK,,,,,,No Fishing upper falls downstream 1 km to (Bear River) logging road bridge 3 km from tidewater,"(50.281030, -125.649358)"
AMOR DE COSMOS CREEK,,,,,Dec 1-May 31,No Fishing from mouth to falls about 4 km upstream,"(50.281030, -125.649358)"
“ANDERSON” LAKE,,,,,,"Artificial fly only, bait ban, single barbless hook","(49.729370, -125.197012)"
“ANDERSON” LAKE,,,,,,Trout and kokanee release at Unnamed lake in the Walbran Creek Watershed approximately 7 km west/southwest of Mt. Walbran,"(49.729370, -125.197012)"
ANTLER LAKE,,,TRUE,,,No powered boats,"(49.803886, -126.051309)"
ARTLISH RIVER,,TRUE,,,Nov 1-Apr 30,No Fishing upstream of the boundary signs at the bridge crossing approximately 10 km from the mouth,"(50.117165, -127.082855)"
ASH RIVER,,,,,,No Fishing from Elsie Lake to Dickson Lake,"(49.3656, -124.9804)"
ASH RIVER,,,,,Dec 1-Apr 30,No Fishing from Dickson Lake to signs 200 m downstream of Lanternman Falls,"(49.3656, -124.9804)"
ASH RIVER,,,,,,No Fishing from Dickson Falls downstream 30 m to signs,"(49.3656, -124.9804)"
BAINBRIDGE LAKE,,,,,,No angling from boats; Youth/Disabled Accompanied Water year round,"(49.204586, -124.731661)"
BEAR LAKE,,,,,,See Cowichan Lake,"(48.814319, -124.127196)"
BEAR RIVER,,,,,,See Amor de Cosmos Creek,"(50.281030, -125.649358)"
BEAVER LAKE,,,TRUE,,,"Smallmouth bass daily quota = 4; Engine power restriction - 7.5 kW (10 hp), no towing on parts","(48.514215, -123.391713)"
BENSON RIVER,,TRUE,,,,Fly fishing only,"(50.417996, -127.371104)"
“BIG QUALICUM” RIVER,,,,,,See Qualicum River,"(49.395466, -124.617130)"
BLACK CREEK,,TRUE,,,Dec 1-May 31,No Fishing,"(49.888923, -125.139369)"
BLACK CREEK,,,,,July 15-Aug 31,No Fishing,"(49.888923, -125.139369)"
BLACKBURN LAKE,,,,,,No powered boats,"(48.821924, -123.484388)"
BLACKWATER LAKE,,,,,,Trout daily quota = 2,"(50.167545, -125.592194)"
BONANZA LAKE,,,,,,"Bait ban, single barbless hook, no trout over 50 cm","(50.363641, -126.769858)"
BOOT LAKE,,,TRUE,,,"Bait ban, single barbless hook, trout daily quota = 2","(55.189611, -120.459877)"
BRANNEN LAKE,,,TRUE,,,Speed restriction on parts (60 km/h),"(49.211687, -124.056109)"
BROWNS RIVER,,,,,,No Fishing,"(49.691606, -125.061879)"
BUTTLE LAKE’S TRIBUTARIES,,,,,,Fly fishing only; except Thelwood Creek is closed all year,"(49.814546, -125.609326)"
Thelwood Creek,,,,,,No fishing,"(49.566246, -125.554825)"
(Lower) CAMPBELL LAKE’S TRIBUTARIES,,,,,Feb 1-July 15,"No Fishing, including Campbell River between Strathcona Dam and (Lower) Campbell Lake","(49.992417, -125.447465)"
CAMPBELL RIVER,,,,,,No Fishing between Elk Falls and John Hart Dam Power Station,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,,No Fishing from Strathcona Dam downstream 100 m,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,Aug 1-Oct 31,No Fishing from the boundary sign at the end of Maple Street downstream to the boundary sign at the cement block,"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,Dec 1-May 31,No Fishing in any tributaries (except Quinsam River),"(50.037277, -125.285451)"
CAMPBELL RIVER,,,,,,From John Hart Dam Power Station to power line crossing approximately 200 m upstream of Quinsam River confluence: fly fishing only year-round,"(50.037277, -125.285451)"
